name	pval	log2FC	covar1	covar2	meanA	meanB
Apoe	Apoe	9.40704548418734e-06	0.935177710818961	0.567688314854302	0.739547644588558	7073.30881251502	3699.18521884939
Cst3	Cst3	3.08306283671164e-05	0.427940382747147	0.164321269259326	0.749321260273457	31123.0432950966	23134.4492704732
M6pr	M6pr	5.82166765153003e-05	2.31643138672352	1.51883213998391	3.02019521783369	490.000024435264	98.374099830274
Tnfsf12	Tnfsf12	9.22238859576048e-05	3.41189796294111	2.02903542563397	5.29850626015689	112.600319673065	10.5792771452992
Tspan7	Tspan7	0.000180385868955761	0.597456935616439	0.430283409266851	0.672321072917988	6305.67794473192	4167.53568438326
Mpzl1	Mpzl1	0.000403608961733315	1.17289732222863	2.48060863754506	3.4966341131804	108.26756480892	48.0198824688748
Itm2b	Itm2b	0.000464841114690338	0.692987766272579	0.53608086515622	0.819155934560016	3782.60211814107	2339.80980812509
Phf7	Phf7	0.000601288961408929	4.8137343004257	3.43150843081443	8.17321490680272	52.9884882357825	1.88409637359158
Rrp7a	Rrp7a	0.000607124706689671	3.37160196980734	4.11411598468036	3.83292911787961	168.937011272401	16.3219288475618
Ckb	Ckb	0.000763733722439592	0.507491570650284	0.482124149799791	0.674010013427355	6908.24125262801	4859.56404871388
Nkain4	Nkain4	0.00102505210143974	1.16163837065612	1.09282567604127	1.71096181408826	1249.52680170288	558.544246137896
Ddrgk1	Ddrgk1	0.00116747439809784	2.03200167106733	1.65072657967516	3.44308031615354	290.121208135244	70.939156968812
Entpd2	Entpd2	0.00142248036498771	1.19554942912111	1.35943923086088	1.77446993752864	563.700571655965	246.123020234138
Lpcat2	Lpcat2	0.00162153011464446	2.34546272906447	2.0387431001082	6.25826008379219	72.0942354182643	14.1855410614582
Slc1a4	Slc1a4	0.00168972224505275	1.35697471100881	1.62070772529421	3.51075245294773	109.937582797058	42.9196421704354
Mlc1	Mlc1	0.00176586767903879	1.16050344255527	1.07999112040897	1.50827891290876	732.027880084025	327.477356276727
Glipr2	Glipr2	0.00178403735279912	8.4393836859661	3.96901339423909	3.79830587862964	51.067566286875	0.147108418604825
Cyp1b1	Cyp1b1	0.00185926064645247	0.841351188469098	2.25041967101755	2.70616224635051	106.253334153483	59.3021750113939
Rsu1	Rsu1	0.00191840351837391	1.55935181734984	1.35881938212837	2.95251080662863	437.100618065996	148.309766031137
Ssu72	Ssu72	0.00222025967560049	1.31858810147347	1.40421536815048	2.72195575570042	236.612127194834	94.8642176672298
Ptch1	Ptch1	0.00263981070494049	2.44913112343764	3.31376255498161	6.43220127455212	54.0599926238508	9.8995180226255
Gcc2	Gcc2	0.002938020186209	2.08253726179152	2.06901775566129	2.97134685687778	94.9760662151933	22.4237371922258
Kdsr	Kdsr	0.00298657995383023	1.40603384955343	1.90204723691485	2.05412750686934	85.3557585450567	32.2087939128098
C030018K13Rik	C030018K13Rik	0.00329695733743923	1.13905339695631	1.90216914987063	2.73655087154753	207.01273925353	93.9956667733701
Abca8a	Abca8a	0.00351061627083182	1.69396219381312	1.8479683921989	2.49606771753901	132.177881424498	40.8531317640918
Mfn1	Mfn1	0.00414118154011912	2.06253886601326	2.0855614124332	3.53104597540014	50.9090917298012	12.1873499844441
Gpm6a	Gpm6a	0.0041855000900233	0.676354873478972	0.658020368275997	0.834215244377171	4309.84758492863	2696.86251744903
Mfge8	Mfge8	0.00526429014881073	0.769836397786717	0.854016827281418	1.04924982040906	1819.49116687423	1067.10241815817
Rgcc	Rgcc	0.00536168920096731	1.79222580758738	2.36701669708219	3.25099675295551	376.706073584697	108.764932647806
Tom1	Tom1	0.00537648791779746	0.762527451608181	3.49972883608226	3.61243125382694	85.1457504548462	50.1902480614896
P2rx6	P2rx6	0.00555021702060956	4.45670934050595	2.46436510439363	7.03428368808306	73.4975754716223	3.34710872142293
Custom_eCFP1_gene	Custom_eCFP1_gene	0.00567619079202832	0.549980341087109	0.556254860165179	0.571508136710566	13664.3033726527	9333.12142087387
Msi2	Msi2	0.00600395586567153	0.730008642676251	0.810473352695895	0.920939770373472	249.406665908427	150.367354214929
Mapre2	Mapre2	0.00618663443562642	1.44664658452247	1.48256215347139	1.76975044347271	272.615775427286	100.01542124005
Snhg3	Snhg3	0.00628530064615562	1.46192753111511	1.9899163325007	3.3990607273122	626.232699023791	227.327356854341
Glud1	Glud1	0.00658817848621206	0.839466559592908	0.921200452935949	1.31037467827084	788.707874107128	440.769527320494
Ppap2b	Ppap2b	0.00658828243969295	0.406243886143375	0.449822586584189	0.769015463341557	1823.67697068813	1376.12003750448
Ttc21b	Ttc21b	0.00679259740930794	2.26298911104439	4.04790145988416	6.78600216614108	65.4809204710667	13.642286737377
Timm17a	Timm17a	0.00744450957024717	0.653304033235633	1.41390809294788	1.98702192937284	432.898503574598	275.246607126275
Ntrk2	Ntrk2	0.00777020951516729	0.549985434991028	0.652608238922171	0.953730907846647	476.706956336155	325.603733694385
Cml1	Cml1	0.00790462759800113	3.3568342298945	2.6957989947004	4.05924559335495	342.464860232041	33.427832873068
Stt3a	Stt3a	0.00835052768159802	1.8352685961976	3.29790805538692	4.1092138437233	140.985765173031	39.5097578682205
Clu	Clu	0.0085059269985335	0.463378714297818	0.528801614318104	0.863537472446715	4690.88119561881	3402.2289952393
Cpt2	Cpt2	0.0105115101179877	5.86246145474682	4.25049972044813	4.82163899138484	70.8609191305308	1.21795161304104
Neo1	Neo1	0.0105308387284162	1.17142534605129	2.57895907539632	3.07678134054951	62.5236363507217	27.7593991515945
Smc3	Smc3	0.0107893990962871	0.874494032405047	1.56072287876882	2.12412636216043	107.467878058042	58.6178302731613
Ddost	Ddost	0.011373141117495	1.66944903633499	1.40471165129717	3.09435242333114	240.82787267942	75.7098722263548
Fbxl5	Fbxl5	0.011429281143959	1.44990477479945	1.78653428704768	2.96124865762114	219.897567911962	80.4925336790151
Tmbim6	Tmbim6	0.0116971578506388	1.04174712018622	0.964132131627032	1.58925116843162	800.313956222339	388.743606379439
Kctd4	Kctd4	0.0117519460446158	1.64556798353546	1.61106817908398	2.52717057106105	351.546389357118	112.361445802816
Lama2	Lama2	0.0119756230019181	0.644159832652102	1.1543629610814	1.82725073956832	81.323028677005	52.0357852703567
AI462493	AI462493	0.012041360121949	1.66600436626952	2.03151987996768	3.41979600106061	200.668179867806	63.2355389459512
Arhgap5	Arhgap5	0.0123215807550622	0.614625524148473	0.935461219367887	1.43350760238418	399.586047038348	260.969405378463
Sparc	Sparc	0.0127543859793074	0.785347368559875	1.06606721806524	1.28600311728618	1470.97211024529	853.476020558993
Cd302	Cd302	0.0128383766604811	1.28452798047839	1.65295553037454	3.14430207908054	529.244588320163	217.257597932807
Slc1a2	Slc1a2	0.0129757046804628	0.356679861482084	0.468721992079732	0.771665724571275	1131.68059821066	883.797020579254
Aplp2	Aplp2	0.0130080537229646	0.804522438183186	1.31682805253133	2.35437476538554	237.8021211521	136.153979079028
Hepacam	Hepacam	0.0131792705843753	1.21975304933259	1.42436060514284	1.74507921001305	116.951515772375	50.2138591198695
Amy1	Amy1	0.0139842478227084	2.14130954601233	2.76214260963677	4.61910997549936	223.048489950584	50.5592803939496
Jmjd1c	Jmjd1c	0.0139984633648965	0.677584262687322	1.85939869226844	2.60097297965082	70.4293940046046	44.0332523281053
Skiv2l2	Skiv2l2	0.0152466642811432	0.408616162147775	4.34153099330088	4.43625810761996	75.8745466113548	57.1597587914848
Ctsb	Ctsb	0.0153826579865778	0.826620078482299	0.970487112511491	1.23469665234647	354.633947905284	199.959880322299
Tmem243	Tmem243	0.0155762594748584	2.47792290145087	3.64461863235126	2.88379980502945	53.0575765564459	9.52397592918945
Nabp2	Nabp2	0.0160795162758409	0.15006872856858	2.22580014134284	2.68861710857395	85.2978724992815	76.8710848998131
Sat1	Sat1	0.0170494081920607	0.582934558111554	0.98884030053118	1.68028401938768	921.00186160276	614.864926595224
Tob1	Tob1	0.0173153716290789	1.56867745621728	1.48212140929971	2.58788438455008	213.483649775146	71.9690303102482
Gabrb1	Gabrb1	0.0179299690171667	1.08746660007823	1.43743544754279	1.86753855976369	362.954276765908	170.801567585158
Pkn2	Pkn2	0.0184110289092524	1.63216985699535	2.00179908824625	2.90073835279398	76.9427313703647	24.821928150844
Fundc2	Fundc2	0.0184718884269665	0.590169411569395	1.16196281801455	1.61264653329982	95.8051555708538	63.6400020591892
Ppil4	Ppil4	0.0193221852593324	0.388853774061099	1.84868032614573	2.69738165189387	85.8921188199215	65.5989165185173
Cav1	Cav1	0.0206560189883386	1.16759100972473	2.25588015908244	3.47979584158359	215.690624002244	96.017711404095
Omg	Omg	0.020815941449763	0.627764233223572	1.59976338623328	2.2850379608659	352.476946250914	228.115529987535
